sleepEndTimestampGMT,retro,awakeSleepSeconds,deepSleepSeconds,sleepStartTimestampGMT,lightSleepSeconds,calendarDate,sleepWindowConfirmationType,unmeasurableSeconds
2022-04-15T14:30:00.0,false,60.0,600.0,2022-04-15T05:00:00.0,17520.0,2022-04-15,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-17T13:34:00.0,false,180.0,240.0,2022-04-17T04:59:00.0,23280.0,2022-04-17,ENHANCED_CONFIRMED_FINAL,1440.0
2022-04-18T13:32:00.0,false,60.0,3180.0,2022-04-18T05:04:00.0,18900.0,2022-04-18,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-19T12:32:00.0,false,120.0,3240.0,2022-04-19T04:29:00.0,13320.0,2022-04-19,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-21T12:33:00.0,false,180.0,1980.0,2022-04-21T05:11:00.0,15300.0,2022-04-21,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-23T14:34:00.0,false,60.0,2400.0,2022-04-23T05:33:00.0,19380.0,2022-04-23,ENHANCED_CONFIRMED_FINAL,2220.0
2022-04-24T15:09:00.0,false,780.0,0.0,2022-04-24T05:45:00.0,16140.0,2022-04-24,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-27T14:08:00.0,false,1320.0,0.0,2022-04-27T02:35:00.0,22020.0,2022-04-27,ENHANCED_CONFIRMED_FINAL,0.0
2022-04-30T16:25:00.0,false,0.0,0.0,2022-04-30T05:45:00.0,19740.0,2022-04-30,ENHANCED_CONFIRMED_FINAL,780.0
2022-05-04T12:39:00.0,false,0.0,1680.0,2022-05-04T05:06:00.0,13620.0,2022-05-04,ENHANCED_CONFIRMED,0.0
2022-05-06T13:36:00.0,false,120.0,3720.0,2022-05-06T04:14:00.0,22380.0,2022-05-06,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-07T14:52:00.0,false,120.0,2220.0,2022-05-07T04:04:00.0,26700.0,2022-05-07,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-10T12:33:00.0,false,120.0,660.0,2022-05-10T04:41:00.0,10080.0,2022-05-10,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-13T13:20:00.0,false,60.0,1680.0,2022-05-13T02:54:00.0,25140.0,2022-05-13,ENHANCED_CONFIRMED,0.0
2022-05-17T12:40:00.0,false,0.0,1920.0,2022-05-17T04:23:00.0,16440.0,2022-05-17,ENHANCED_CONFIRMED_FINAL,1140.0
2022-05-19T12:32:00.0,false,0.0,0.0,2022-05-19T04:59:00.0,11940.0,2022-05-19,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-21T17:01:00.0,false,120.0,1860.0,2022-05-21T06:37:00.0,20880.0,2022-05-21,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-22T13:46:00.0,false,0.0,3240.0,2022-05-22T05:06:00.0,21120.0,2022-05-22,ENHANCED_CONFIRMED,0.0
2022-05-24T12:30:00.0,false,180.0,2940.0,2022-05-24T04:10:00.0,15360.0,2022-05-24,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-25T13:01:00.0,false,120.0,3120.0,2022-05-25T05:12:00.0,18180.0,2022-05-25,ENHANCED_CONFIRMED,0.0
2022-05-27T16:07:00.0,false,60.0,0.0,2022-05-27T03:59:00.0,15960.0,2022-05-27,ENHANCED_CONFIRMED_FINAL,1320.0
2022-05-28T16:11:00.0,false,660.0,0.0,2022-05-28T03:34:00.0,28020.0,2022-05-28,ENHANCED_CONFIRMED_FINAL,0.0
2022-05-29T13:32:00.0,false,60.0,1440.0,2022-05-29T04:49:00.0,17820.0,2022-05-29,ENHANCED_CONFIRMED,0.0
2022-06-03T12:33:00.0,false,0.0,1140.0,2022-06-03T04:06:00.0,17460.0,2022-06-03,ENHANCED_CONFIRMED_FINAL,0.0
2022-06-04T14:33:00.0,false,60.0,540.0,2022-06-04T05:13:00.0,21900.0,2022-06-04,ENHANCED_CONFIRMED_FINAL,0.0
2022-06-08T12:33:00.0,false,780.0,1500.0,2022-06-08T04:02:00.0,12600.0,2022-06-08,ENHANCED_CONFIRMED_FINAL,0.0
2022-06-09T12:54:00.0,false,0.0,0.0,2022-06-09T05:11:00.0,11460.0,2022-06-09,ENHANCED_CONFIRMED,0.0
2022-06-14T12:36:00.0,false,60.0,0.0,2022-06-14T04:03:00.0,18720.0,2022-06-14,ENHANCED_CONFIRMED_FINAL,0.0
2022-07-04T23:16:00.0,false,4020.0,4020.0,2022-07-04T04:27:00.0,38100.0,2022-07-04,ENHANCED_CONFIRMED,0.0
2022-07-05T14:47:00.0,false,0.0,1380.0,2022-07-05T10:42:00.0,10620.0,2022-07-05,ENHANCED_CONFIRMED,0.0
2022-07-07T15:40:00.0,false,180.0,1800.0,2022-07-07T11:29:00.0,8760.0,2022-07-07,ENHANCED_CONFIRMED,0.0
2022-07-09T23:07:00.0,false,120.0,1320.0,2022-07-09T12:56:00.0,18060.0,2022-07-09,ENHANCED_CONFIRMED,0.0
2022-07-11T23:01:00.0,false,480.0,3180.0,2022-07-11T11:31:00.0,22920.0,2022-07-11,ENHANCED_CONFIRMED,0.0
2022-07-13T22:46:00.0,false,360.0,1740.0,2022-07-13T11:56:00.0,24420.0,2022-07-13,ENHANCED_CONFIRMED,0.0
2022-07-15T12:42:00.0,false,900.0,600.0,2022-07-15T08:30:00.0,8640.0,2022-07-15,ENHANCED_CONFIRMED_FINAL,1500.0
2022-07-17T15:06:00.0,false,60.0,0.0,2022-07-17T10:31:00.0,7800.0,2022-07-17,ENHANCED_CONFIRMED,1260.0
2022-07-19T23:01:00.0,false,0.0,4440.0,2022-07-19T14:10:00.0,15600.0,2022-07-19,ENHANCED_CONFIRMED,0.0
